kegg	eawag	alam	kegg	eawag	alam
C04133	0	0	C01250	0	0
C04133	0	0	C01250	0	0
C00601	1	1	C07086	1	1
C00601	1	1	C07086	1	1
C00601	1	1	C07086	1	1
C00601	1	1	C07086	1	1
C07086	1	1	C00601	1	1
C07086	1	1	C00601	1	1
C03287	0	0	C01165	0	0
C00058	1	1	C00067	1	1
C00067	1	1	C00058	1	1
C00067	1	1	C00058	1	1
C00067	1	1	C00058	1	1
C00118	0	1	C00236	0	1
C00118	0	1	C00236	0	1
C00118	0	1	C00236	0	1
C00236	0	1	C00118	0	1
C00236	0	1	C00118	0	1
C00236	0	1	C00118	0	1
C00236	0	1	C00118	0	1
C00118	0	1	C00236	0	1
C00118	0	1	C00236	0	1
C00118	0	1	C00236	0	1
C00236	0	1	C00118	0	1
C00236	0	1	C00118	0	1
C00236	0	1	C00118	0	1
C00236	0	1	C00118	0	1
C04186	1	0	C04642	1	0
C04186	1	0	C04642	1	0
C04642	1	0	C04186	1	0
C04642	1	0	C04186	1	0
C00805	1	0	C06202	1	0
C06202	1	0	C00805	1	0
C06202	1	0	C00805	1	0
C00022	1	1	C00033	1	1
C00250	0	1	C00847	0	0
C00376	0	1	C00777	0	1
C00628	1	1	C05585	0	0
C05585	0	0	C00628	1	1
C05585	0	0	C00628	1	1
C06002	1	0	C02170	0	1
C02918	0	1	C05843	0	0
C05634	0	0	C05635	0	1
C16612	0	0	C16610	0	0
C16681	0	1	C15493	0	1
C02918	0	1	C05842	0	0
C00022	1	1	C00227	0	0
C00022	1	1	C05125	0	0
C00022	1	1	C05125	0	0
C00022	1	1	C05125	0	0
C00022	1	1	C05125	0	0
C00022	1	1	C05125	0	0
C00022	1	1	C05125	0	0
C00068	0	1	C05125	0	0
C00068	0	1	C05125	0	0
C00068	0	1	C05125	0	0
C00068	0	1	C05125	0	0
C05125	0	0	C00022	1	1
C05125	0	0	C00068	0	1
C05125	0	0	C00068	0	1
C05125	0	0	C00068	0	1
C05125	0	0	C16255	0	0
C05125	0	0	C16255	0	0
C05125	0	0	C16255	0	0
C15972	0	0	C00068	0	1
C15972	0	0	C00068	0	1
C15972	0	0	C00068	0	1
C15972	0	0	C16255	0	0
C15972	0	0	C16255	0	0
C15972	0	0	C16255	0	0
C00022	1	1	C05125	0	0
C00022	1	1	C05125	0	0
C00022	1	1	C05125	0	0
C00022	1	1	C05125	0	0
C00022	1	1	C05125	0	0
C00022	1	1	C05125	0	0
C00068	0	1	C05125	0	0
C00068	0	1	C05125	0	0
C00068	0	1	C05125	0	0
C00068	0	1	C05125	0	0
C05125	0	0	C00022	1	1
C05125	0	0	C00068	0	1
C05125	0	0	C00068	0	1
C05125	0	0	C00068	0	1
C05125	0	0	C16255	0	0
C05125	0	0	C16255	0	0
C05125	0	0	C16255	0	0
C15972	0	0	C00068	0	1
C15972	0	0	C00068	0	1
C15972	0	0	C00068	0	1
C15972	0	0	C16255	0	0
C15972	0	0	C16255	0	0
C15972	0	0	C16255	0	0
C00022	1	1	C05125	0	0
C00022	1	1	C05125	0	0
C00022	1	1	C05125	0	0
C00022	1	1	C05125	0	0
C00022	1	1	C05125	0	0
C00022	1	1	C05125	0	0
C00068	0	1	C05125	0	0
C00068	0	1	C05125	0	0
C00068	0	1	C05125	0	0
C00068	0	1	C05125	0	0
C05125	0	0	C00022	1	1
C05125	0	0	C00068	0	1
C05125	0	0	C00068	0	1
C05125	0	0	C00068	0	1
C05125	0	0	C16255	0	0
C05125	0	0	C16255	0	0
C05125	0	0	C16255	0	0
C15972	0	0	C00068	0	1
C15972	0	0	C00068	0	1
C15972	0	0	C00068	0	1
C15972	0	0	C16255	0	0
C15972	0	0	C16255	0	0
C15972	0	0	C16255	0	0
C00026	1	1	C05381	0	0
C00068	0	1	C05381	0	0
C05381	0	0	C00068	0	1
C05381	0	0	C16254	0	0
C15972	0	0	C00068	0	1
C15972	0	0	C16254	0	0
C00068	0	1	C15976	0	0
C00141	0	1	C15976	0	0
C15972	0	0	C00068	0	1
C15972	0	0	C15977	0	0
C15976	0	0	C00068	0	1
C15976	0	0	C15977	0	0
C00068	0	1	C15974	0	0
C00233	0	1	C15974	0	0
C15972	0	0	C00068	0	1
C15972	0	0	C15975	0	0
C15974	0	0	C00068	0	1
C15974	0	0	C15975	0	0
C00068	0	1	C15978	0	0
C00671	0	0	C15978	0	0
C15972	0	0	C00068	0	1
C15972	0	0	C15979	0	0
C15978	0	0	C00068	0	1
C15978	0	0	C15979	0	0
C00068	0	1	C15976	0	0
C00141	0	1	C15976	0	0
C15972	0	0	C00068	0	1
C15972	0	0	C15977	0	0
C15976	0	0	C00068	0	1
C15976	0	0	C15977	0	0
C00068	0	1	C15974	0	0
C00233	0	1	C15974	0	0
C15972	0	0	C00068	0	1
C15972	0	0	C15975	0	0
C15974	0	0	C00068	0	1
C15974	0	0	C15975	0	0
C00068	0	1	C15978	0	0
C00671	0	0	C15978	0	0
C15972	0	0	C00068	0	1
C15972	0	0	C15979	0	0
C15978	0	0	C00068	0	1
C15978	0	0	C15979	0	0
C00011	1	1	C00022	1	1
C00011	1	1	C00022	1	1
C00022	1	1	C00011	1	1
C00022	1	1	C00011	1	1
C00022	1	1	C00024	1	1
